UltimateParentAccountID,ARR,UserCount_All,SessionCount_Amp,ResponseCount,ActionCount_ProjectsCreated,MUserCount_ProjectsCreated,Pageland_Count,AMRActions_UniqueUsers,TextIqConsumption_Events,TextIqConsumption_Uniques
0015000000nDXXzAAO,0,836,18128,143152,228,100,81985,226,19,635
0015000000YXkYLAA1,0,2810,20943,937460,382,149,2694215,147,10,2227
0015000000XZyUnAAL,0,1822,53147,131225,303,132,120069,215,25,2925
00150000010M7LsAAK,0,39231,545402,1346012,14300,8844,1493125,9950,44,596
0015000000nDQKbAAO,0,1509,28454,111991,216,128,82113,195,3,140
0015000000tG4T3AAK,0,1045,12468,88009,225,64,79537,72,0,0
0015000000YVkPOAA1,0,6813,38807,344098,201,55,119040,74,13,818
0015000000nDU14AAG,0,1766,33287,56422,67,45,92358,80,0,0
0015000000d54OUAAY,0,317,6251,18644,107,50,21827,75,7,236
0015000000nDRNLAA4,0,1623,12354,19327,122,39,36399,89,6,89
0015000000bp8iHAAQ,0,445,5453,28476,35,11,11975,21,1,1
0015000000UxLLcAAN,0,2575,22139,42258,484,248,111530,342,10,285
0012J00002QkjXjQAJ,0,7156,39917,113788,333,158,599163,248,34,5248
00150000010MS4LAAW,0,2829,72700,288429,1224,427,216898,645,22,1143
0015000000tGKf1AAG,0,625,6547,25204,56,32,35158,96,41,2775
0012J00002Qk1CrQAJ,0,1354,18604,318033,310,98,68446,116,2,2
00150000010MZsRAAW,0,17697,371286,150826,182,118,497653,278,14,291
0015000000RyhZWAAZ,0,903,19602,260350,404,170,109384,184,20,3026
0015000000ruyrGAAQ,0,2483,61770,894583,518,281,139560,397,2,2
0015000000ZiAGOAA3,0,510,6220,19553,81,42,38970,74,1,10
0015000000son5SAAQ,0,588,12034,273528,145,64,57811,139,4,116
0015000000tG90kAAC,0,619,11434,53090,94,49,48051,114,13,403
0015000000SlVc3AAF,0,5579,93033,68995,94,40,119390,58,8,1525
00150000010MUcxAAG,0,654,7328,52292,13,12,33858,48,14,1603
0015000000tGQMkAAO,0,2937,46971,633417,619,357,150203,406,34,2113
0015000000tG74hAAC,0,7554,42898,54115,92,41,101255,73,36,789
00150000010MEFGAA4,0,318,9445,1688384,160,37,53755,38,9,437
0015000000Zi14DAAR,0,1968,79806,417746,814,386,233678,535,2,5
0015000000nDWV5AAO,0,12420,49337,190709,176,96,127063,157,8,376
00150000010MCfQAAW,0,660,6172,121311,119,57,41610,128,20,1376
0015000000wNTccAAG,0,27255,405702,1751397,7247,4170,1376400,6640,52,1437
0015000000b7VkKAAU,0,8103,39179,148629,152,72,100134,102,8,737
0015000000tGAStAAO,0,730,21410,686275,349,129,139946,195,20,14444
0015000000nDVjeAAG,0,868,19033,55731,347,95,69010,170,24,368
0015000000NhGE6AAN,0,2170,110465,15874561,257,124,181856,243,13,448
0015000000yoYUbAAM,0,2703,46247,151118,510,265,144355,493,9,102
0012J00002Qj6ypQAB,0,2817,20774,187312,165,94,89282,254,0,0
0015000000qFjj5AAC,0,10350,31299,160980,24,16,56198,47,0,0
00150000010MHm0AAG,0,910,7605,17448,114,44,32548,51,10,67
0015000000wLFqMAAW,0,915,5659,24841,66,25,38375,80,7,118
0015000000nDV1tAAG,0,5532,115241,390310,99,34,238497,91,46,789
0015000001OdYQQAA3,0,4402,78738,435733,220,99,191595,166,8,383
0015000000piKM3AAM,0,4683,15677,42998,45,21,39967,58,1,1
0015000000VaO3bAAF,0,442,3523,185181,33,14,18491,59,4,19
0015000000wNRAAAA4,0,1781,14296,65196,96,36,51025,104,6,129
00150000010MOFSAA4,0,3459,18612,70917,38,22,36377,57,10,545
0015000000nDU0aAAG,0,850,18039,426578,283,141,90527,222,0,0
0015000000ZgTjDAAV,0,8656,133697,997887,3085,1592,594547,3242,25,108
00150000010MH6ZAAW,0,2815,62554,925589,525,140,362911,215,23,6943
0015000000tGBR3AAO,0,1324,25050,258906,243,109,134381,197,3,78
0015000000tRcwRAAS,0,561,7022,189466,245,118,29313,126,1,2
0015000000QbRnPAAV,0,45235,436877,4740409,11463,6833,1604357,9009,28,45
